Numero de regras = 835
premissa ==> conclusao (suporte,confianca)
{globo ad.yieldmanager.com orkut gstatic}==>{google yahoo} (0.007142857,1.0)
{globo ad.yieldmanager.com yahoo bn.uol.com.br terra}==>{google ad.doubleclick.net} (0.007142857,1.0)
{globo orkut bn.uol.com.br terra}==>{google ad.doubleclick.net} (0.007142857,1.0)
{globo uai ad.doubleclick.net orkut bn.uol.com.br}==>{google yahoo} (0.007142857,1.0)
{globo uai yahoo orkut bn.uol.com.br}==>{google ad.doubleclick.net} (0.007142857,1.0)
{google ad.doubleclick.net ad.yieldmanager.com orkut gstatic}==>{yahoo} (0.007142857,1.0)
{google bn.uol.com.br ad.doubleclick.net terra rad.msn}==>{view.atdmt.com yahoo} (0.007142857,1.0)
{google gstatic orkut uai}==>{yahoo} (0.007142857,1.0)
{google orkut bn.uol.com.br terra ad.doubleclick.net}==>{globo} (0.007142857,1.0)
{google terra yahoo view.atdmt.com orkut}==>{ad.doubleclick.net} (0.007142857,1.0)
{google uai yahoo ad.doubleclick.net gstatic}==>{ad.yieldmanager.com} (0.007142857,1.0)
{google view.atdmt.com ad.doubleclick.net terra bn.uol.com.br yahoo}==>{rad.msn} (0.007142857,1.0)
{google view.atdmt.com ad.doubleclick.net terra rad.msn}==>{bn.uol.com.br yahoo} (0.007142857,1.0)
{gstatic ad.doubleclick.net bn.uol.com.br globo}==>{google} (0.007142857,1.0)
{gstatic globo ad.doubleclick.net terra}==>{google} (0.007142857,1.0)
{gstatic globo yahoo terra}==>{google} (0.007142857,1.0)
{gstatic orkut bn.uol.com.br globo}==>{google} (0.007142857,1.0)
{orkut gstatic view.atdmt.com bn.uol.com.br}==>{google} (0.007142857,1.0)
{orkut uai bn.uol.com.br rad.msn}==>{yahoo} (0.007142857,1.0)
{orkut yahoo ad.yieldmanager.com view.atdmt.com terra}==>{ad.doubleclick.net} (0.007142857,1.0)
{orkut yahoo terra uai}==>{google} (0.007142857,1.0)
