Numero de regras = 876
premissa ==> conclusao (suporte,confianca)
{rad.msn ad.yieldmanager.com orkut ad.doubleclick.net globo}==>{bn.uol.com.br yahoo} (0.0070422534,1.0)
{rad.msn uai ad.doubleclick.net view.atdmt.com}==>{bn.uol.com.br} (0.0070422534,1.0)
{terra bn.uol.com.br globo ad.doubleclick.net ad.yieldmanager.com}==>{orkut yahoo} (0.0070422534,1.0)
{terra orkut globo ad.doubleclick.net yahoo ad.yieldmanager.com}==>{bn.uol.com.br} (0.0070422534,1.0)
{terra youtube globo}==>{orkut google yahoo} (0.0070422534,1.0)
{terra youtube orkut google}==>{globo yahoo} (0.0070422534,1.0)
{terra youtube orkut yahoo}==>{globo google} (0.0070422534,1.0)
{uai ad.doubleclick.net ad.yieldmanager.com gstatic}==>{google} (0.0070422534,1.0)
{uai globo ad.doubleclick.net bn.uol.com.br orkut}==>{google} (0.0070422534,1.0)
{uai globo ad.doubleclick.net bn.uol.com.br terra}==>{google} (0.0070422534,1.0)
{uai globo ad.yieldmanager.com yahoo orkut}==>{google} (0.0070422534,1.0)
{uai globo bn.uol.com.br view.atdmt.com}==>{google} (0.0070422534,1.0)
{uai globo bn.uol.com.br yahoo orkut}==>{google} (0.0070422534,1.0)
{uai globo terra orkut}==>{google} (0.0070422534,1.0)
{uai globo terra yahoo bn.uol.com.br}==>{google} (0.0070422534,1.0)
{uai google bn.uol.com.br ad.doubleclick.net rad.msn}==>{yahoo} (0.0070422534,1.0)
{uai orkut gstatic ad.doubleclick.net yahoo}==>{google} (0.0070422534,1.0)
{uai orkut gstatic ad.yieldmanager.com}==>{google yahoo} (0.0070422534,1.0)
{uai orkut yahoo terra}==>{ad.yieldmanager.com} (0.0070422534,1.0)
{uai view.atdmt.com bn.uol.com.br terra}==>{google} (0.0070422534,1.0)
{uai yahoo bn.uol.com.br ad.doubleclick.net rad.msn}==>{google} (0.0070422534,1.0)
{uai yahoo gstatic ad.yieldmanager.com}==>{orkut google} (0.0070422534,1.0)
{view.atdmt.com ad.doubleclick.net ad.yieldmanager.com yahoo globo orkut}==>{bn.uol.com.br} (0.0070422534,1.0)
{view.atdmt.com ad.doubleclick.net bn.uol.com.br globo ad.yieldmanager.com yahoo}==>{orkut} (0.0070422534,1.0)
{view.atdmt.com ad.doubleclick.net bn.uol.com.br globo orkut}==>{ad.yieldmanager.com yahoo} (0.0070422534,1.0)
