Numero de regras = 205
premissa ==> conclusao (suporte,confianca)
{rad.msn globo view.atdmt.com}==>{youtube google bn.uol.com.br ad.yieldmanager.com ceipmsn yahoo} (0.0031746032,1.0)
{rad.msn google orkut ad.doubleclick.net}==>{terra bn.uol.com.br} (0.0031746032,1.0)
{rad.msn uai gstatic}==>{view.atdmt.com} (0.0031746032,1.0)
{rad.msn yahoo view.atdmt.com ad.yieldmanager.com}==>{globo youtube google bn.uol.com.br ceipmsn} (0.0031746032,1.0)
{rad.msn yahoo view.atdmt.com ceipmsn}==>{globo youtube google bn.uol.com.br ad.yieldmanager.com} (0.0031746032,1.0)
{rad.msn yahoo view.atdmt.com google}==>{globo youtube bn.uol.com.br ad.yieldmanager.com ceipmsn} (0.0031746032,1.0)
{rad.msn youtube ad.yieldmanager.com}==>{globo google view.atdmt.com bn.uol.com.br ceipmsn yahoo} (0.0031746032,1.0)
{rad.msn youtube bn.uol.com.br}==>{globo google view.atdmt.com ad.yieldmanager.com ceipmsn yahoo} (0.0031746032,1.0)
{rad.msn youtube ceipmsn}==>{globo google view.atdmt.com bn.uol.com.br ad.yieldmanager.com yahoo} (0.0031746032,1.0)
{rad.msn youtube globo}==>{google view.atdmt.com bn.uol.com.br ad.yieldmanager.com ceipmsn yahoo} (0.0031746032,1.0)
{rad.msn youtube view.atdmt.com google}==>{globo bn.uol.com.br ad.yieldmanager.com ceipmsn yahoo} (0.0031746032,1.0)
{rad.msn youtube yahoo}==>{globo google view.atdmt.com bn.uol.com.br ad.yieldmanager.com ceipmsn} (0.0031746032,1.0)
{terra bn.uol.com.br orkut}==>{google rad.msn ad.doubleclick.net} (0.0031746032,1.0)
{terra bn.uol.com.br rad.msn}==>{orkut google ad.doubleclick.net} (0.0031746032,1.0)
{terra google orkut}==>{rad.msn ad.doubleclick.net bn.uol.com.br} (0.0031746032,1.0)
{terra google rad.msn}==>{orkut ad.doubleclick.net bn.uol.com.br} (0.0031746032,1.0)
{terra rad.msn ad.doubleclick.net}==>{orkut google bn.uol.com.br} (0.0031746032,1.0)
{terra rad.msn orkut}==>{google ad.doubleclick.net bn.uol.com.br} (0.0031746032,1.0)
{uai ad.doubleclick.net view.atdmt.com}==>{orkut youtube} (0.0031746032,1.0)
{uai ad.doubleclick.net youtube}==>{orkut view.atdmt.com} (0.0031746032,1.0)
{uai globo google}==>{yahoo} (0.0031746032,1.0)
{uai globo yahoo}==>{google} (0.0031746032,1.0)
{uai orkut youtube}==>{ad.doubleclick.net view.atdmt.com} (0.0031746032,1.0)
{uai terra yahoo}==>{google} (0.0031746032,1.0)
{uai yahoo view.atdmt.com}==>{youtube gstatic} (0.0031746032,1.0)
{uai youtube gstatic}==>{view.atdmt.com yahoo} (0.0031746032,1.0)
{uai youtube yahoo}==>{gstatic view.atdmt.com} (0.0031746032,1.0)
{view.atdmt.com ad.doubleclick.net terra}==>{google} (0.0031746032,1.0)
{view.atdmt.com google terra}==>{ad.doubleclick.net} (0.0031746032,1.0)
{view.atdmt.com gstatic bn.uol.com.br}==>{yahoo} (0.0031746032,1.0)
{yahoo ad.doubleclick.net orkut}==>{gstatic google ceipmsn} (0.0031746032,1.0)
{yahoo ad.yieldmanager.com bn.uol.com.br gstatic}==>{uai ad.doubleclick.net} (0.0031746032,1.0)
{yahoo ad.yieldmanager.com bn.uol.com.br uai}==>{gstatic ad.doubleclick.net} (0.0031746032,1.0)
{yahoo ad.yieldmanager.com terra}==>{globo ad.doubleclick.net ceipmsn} (0.0031746032,1.0)
{yahoo ceipmsn terra}==>{globo ad.doubleclick.net ad.yieldmanager.com} (0.0031746032,1.0)
{youtube bn.uol.com.br yahoo orkut}==>{google} (0.0031746032,1.0)
{youtube view.atdmt.com bn.uol.com.br yahoo}==>{globo google rad.msn ad.yieldmanager.com ceipmsn} (0.0031746032,1.0)
{youtube view.atdmt.com ceipmsn}==>{globo google rad.msn bn.uol.com.br ad.yieldmanager.com yahoo} (0.0031746032,1.0)
{youtube view.atdmt.com globo yahoo}==>{google rad.msn bn.uol.com.br ad.yieldmanager.com ceipmsn} (0.0031746032,1.0)
{youtube yahoo ceipmsn}==>{globo google rad.msn view.atdmt.com bn.uol.com.br ad.yieldmanager.com} (0.0031746032,1.0)
