Numero de regras = 1246
premissa ==> conclusao (suporte,confianca)
{view.atdmt.com orkut bn.uol.com.br ad.yieldmanager.com gstatic}==>{google yahoo} (0.00979021,1.0)
{view.atdmt.com yahoo youtube globo ad.yieldmanager.com}==>{google} (0.00979021,1.0)
{view.atdmt.com yahoo youtube globo google}==>{ad.yieldmanager.com} (0.00979021,1.0)
{yahoo ad.doubleclick.net uai youtube}==>{google} (0.00979021,1.0)
{yahoo bn.uol.com.br view.atdmt.com terra}==>{google} (0.00979021,1.0)
{yahoo bn.uol.com.br view.atdmt.com youtube gstatic}==>{google} (0.00979021,1.0)
{yahoo rad.msn gstatic globo}==>{ad.yieldmanager.com} (0.00979021,1.0)
{youtube bn.uol.com.br ad.yieldmanager.com yahoo globo}==>{google} (0.00979021,1.0)
{youtube bn.uol.com.br gstatic orkut}==>{google ad.yieldmanager.com yahoo} (0.00979021,1.0)
{youtube bn.uol.com.br uai}==>{google} (0.00979021,1.0)
{youtube gstatic ad.doubleclick.net orkut}==>{google yahoo} (0.00979021,1.0)
{youtube gstatic ad.doubleclick.net yahoo}==>{orkut google} (0.00979021,1.0)
{youtube gstatic orkut view.atdmt.com}==>{ad.yieldmanager.com yahoo} (0.00979021,1.0)
{ad.doubleclick.net ad.yieldmanager.com uai orkut view.atdmt.com}==>{google yahoo} (0.0083916085,1.0)
{ad.doubleclick.net ad.yieldmanager.com view.atdmt.com gstatic}==>{orkut google yahoo} (0.0083916085,1.0)
{ad.doubleclick.net bn.uol.com.br uai youtube}==>{google} (0.0083916085,1.0)
{ad.doubleclick.net google view.atdmt.com gstatic}==>{orkut ad.yieldmanager.com yahoo} (0.0083916085,1.0)
{ad.doubleclick.net gstatic orkut ad.yieldmanager.com bn.uol.com.br}==>{google yahoo} (0.0083916085,1.0)
{ad.doubleclick.net terra gstatic google}==>{yahoo} (0.0083916085,1.0)
{ad.doubleclick.net uai ad.yieldmanager.com bn.uol.com.br orkut}==>{google yahoo} (0.0083916085,1.0)
{ad.doubleclick.net uai bn.uol.com.br view.atdmt.com orkut}==>{google} (0.0083916085,1.0)
{ad.doubleclick.net view.atdmt.com uai youtube}==>{orkut google} (0.0083916085,1.0)
{ad.doubleclick.net view.atdmt.com yahoo globo orkut}==>{google} (0.0083916085,1.0)
{ad.doubleclick.net yahoo orkut uai youtube}==>{gstatic google} (0.0083916085,1.0)
{ad.doubleclick.net yahoo uai orkut view.atdmt.com}==>{google ad.yieldmanager.com} (0.0083916085,1.0)
{ad.doubleclick.net yahoo view.atdmt.com gstatic}==>{orkut google ad.yieldmanager.com} (0.0083916085,1.0)
{ad.yieldmanager.com ad.doubleclick.net youtube gstatic}==>{orkut google yahoo} (0.0083916085,1.0)
{ad.yieldmanager.com bn.uol.com.br uai youtube}==>{google yahoo} (0.0083916085,1.0)
{ad.yieldmanager.com view.atdmt.com orkut globo bn.uol.com.br}==>{google yahoo} (0.0083916085,1.0)
{ad.yieldmanager.com view.atdmt.com orkut youtube globo}==>{google yahoo} (0.0083916085,1.0)
{ad.yieldmanager.com yahoo rad.msn globo orkut}==>{google} (0.0083916085,1.0)
{ad.yieldmanager.com youtube bn.uol.com.br rad.msn}==>{google view.atdmt.com} (0.0083916085,1.0)
{ad.yieldmanager.com youtube view.atdmt.com rad.msn}==>{google bn.uol.com.br} (0.0083916085,1.0)
{bn.uol.com.br ad.doubleclick.net youtube orkut}==>{google} (0.0083916085,1.0)
{bn.uol.com.br rad.msn uai orkut}==>{google} (0.0083916085,1.0)
{bn.uol.com.br terra youtube}==>{google ad.yieldmanager.com yahoo} (0.0083916085,1.0)
{bn.uol.com.br view.atdmt.com uai gstatic}==>{google yahoo} (0.0083916085,1.0)
{bn.uol.com.br yahoo uai google terra}==>{ad.doubleclick.net} (0.0083916085,1.0)
{ceipmsn ad.yieldmanager.com rad.msn globo}==>{google} (0.0083916085,1.0)
{globo ad.doubleclick.net bn.uol.com.br orkut}==>{uai google} (0.0083916085,1.0)
{globo ad.doubleclick.net view.atdmt.com bn.uol.com.br ad.yieldmanager.com}==>{google} (0.0083916085,1.0)
{globo bn.uol.com.br ad.yieldmanager.com terra ad.doubleclick.net}==>{yahoo} (0.0083916085,1.0)
{globo bn.uol.com.br yahoo uai gstatic}==>{google} (0.0083916085,1.0)
{globo gstatic orkut bn.uol.com.br ad.yieldmanager.com}==>{google yahoo} (0.0083916085,1.0)
{globo gstatic view.atdmt.com orkut}==>{google yahoo} (0.0083916085,1.0)
{globo rad.msn ad.yieldmanager.com bn.uol.com.br view.atdmt.com}==>{google} (0.0083916085,1.0)
{globo rad.msn youtube bn.uol.com.br}==>{google view.atdmt.com} (0.0083916085,1.0)
{globo rad.msn youtube google}==>{view.atdmt.com bn.uol.com.br} (0.0083916085,1.0)
{globo terra rad.msn ad.yieldmanager.com}==>{yahoo} (0.0083916085,1.0)
{globo view.atdmt.com uai gstatic}==>{google yahoo} (0.0083916085,1.0)
{globo youtube orkut ad.doubleclick.net}==>{google} (0.0083916085,1.0)
{google ad.doubleclick.net rad.msn terra}==>{yahoo} (0.0083916085,1.0)
{google ad.yieldmanager.com terra youtube}==>{bn.uol.com.br yahoo} (0.0083916085,1.0)
{google globo uai ad.yieldmanager.com rad.msn}==>{yahoo} (0.0083916085,1.0)
{google globo uai yahoo rad.msn}==>{ad.yieldmanager.com} (0.0083916085,1.0)
{google gstatic globo youtube}==>{ad.yieldmanager.com yahoo} (0.0083916085,1.0)
{google view.atdmt.com youtube gstatic orkut}==>{ad.yieldmanager.com yahoo} (0.0083916085,1.0)
{gstatic globo google uai ad.doubleclick.net}==>{orkut ad.yieldmanager.com yahoo} (0.0083916085,1.0)
