Numero de regras = 155
premissa ==> conclusao (suporte,confianca)
{view.atdmt.com globo yahoo}==>{orkut google rad.msn bn.uol.com.br ad.yieldmanager.com} (0.003236246,1.0)
{view.atdmt.com google ad.yieldmanager.com gstatic}==>{yahoo} (0.003236246,1.0)
{view.atdmt.com google yahoo gstatic}==>{ad.yieldmanager.com} (0.003236246,1.0)
{view.atdmt.com rad.msn ad.yieldmanager.com google}==>{globo orkut bn.uol.com.br yahoo} (0.003236246,1.0)
{view.atdmt.com rad.msn ad.yieldmanager.com orkut}==>{globo google bn.uol.com.br yahoo} (0.003236246,1.0)
{view.atdmt.com rad.msn bn.uol.com.br google}==>{globo orkut ad.yieldmanager.com yahoo} (0.003236246,1.0)
{view.atdmt.com rad.msn bn.uol.com.br orkut}==>{globo google ad.yieldmanager.com yahoo} (0.003236246,1.0)
{view.atdmt.com rad.msn google globo}==>{orkut bn.uol.com.br ad.yieldmanager.com yahoo} (0.003236246,1.0)
{view.atdmt.com rad.msn yahoo google}==>{globo orkut bn.uol.com.br ad.yieldmanager.com} (0.003236246,1.0)
{view.atdmt.com rad.msn yahoo orkut}==>{globo google bn.uol.com.br ad.yieldmanager.com} (0.003236246,1.0)
{view.atdmt.com terra google}==>{youtube rad.msn} (0.003236246,1.0)
{view.atdmt.com terra rad.msn}==>{youtube google} (0.003236246,1.0)
{view.atdmt.com terra youtube}==>{google rad.msn} (0.003236246,1.0)
{yahoo ad.doubleclick.net ad.yieldmanager.com bn.uol.com.br}==>{orkut google view.atdmt.com} (0.003236246,1.0)
{yahoo ad.doubleclick.net ad.yieldmanager.com google}==>{orkut view.atdmt.com bn.uol.com.br} (0.003236246,1.0)
{yahoo ad.doubleclick.net ad.yieldmanager.com orkut}==>{google view.atdmt.com bn.uol.com.br} (0.003236246,1.0)
{yahoo ad.doubleclick.net view.atdmt.com}==>{orkut google bn.uol.com.br ad.yieldmanager.com} (0.003236246,1.0)
{yahoo ceipmsn bn.uol.com.br youtube}==>{orkut google ad.yieldmanager.com} (0.003236246,1.0)
{yahoo google ceipmsn rad.msn}==>{orkut} (0.003236246,1.0)
{yahoo orkut ceipmsn rad.msn}==>{google} (0.003236246,1.0)
{yahoo orkut youtube}==>{google bn.uol.com.br ad.yieldmanager.com ceipmsn} (0.003236246,1.0)
{youtube bn.uol.com.br ad.doubleclick.net}==>{orkut} (0.003236246,1.0)
{youtube gstatic terra}==>{orkut ad.yieldmanager.com} (0.003236246,1.0)
{youtube orkut ad.doubleclick.net}==>{bn.uol.com.br} (0.003236246,1.0)
